Partlist

Exported from PhantomDriver_ER150D.sch at 2020/07/16 14:41

EAGLE Version 7.4.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 80Hz 1Vo-p

Part     Value                   Device                  Package                 Library          Sheet

R2       100k/POT                R_POT                   CT-6                    AEL_RLC          1
R3       82k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R4       47k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R5       7.5k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R6       91k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R7       68k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R8       51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R9       51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R10      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R11      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R12      20k/POT                 R_POT                   CT-6                    AEL_RLC          1
R13      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R14      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R15      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R16      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R17      9.1k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R18      47/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R19      10k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R20      10k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R21      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R22      0                       RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R23      9.1k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R24      110k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R25      11k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R26      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R27      0                       RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R28      0                       RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R29      10k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R30      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R31      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R32      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R33      0                       RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R34      1M/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R35      0                       RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R36      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R37      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R38      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R39      47/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R40      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R41      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R42      68k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R43      68k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R44      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R45      51k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R46      30/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R47      100k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R48      100k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R49      5.6k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R50      39k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R51      100k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R52      100k                    RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R53      10k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R54      10k                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R55      2k/0.05%/10ppm          RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R56      100/0.05%/10ppm         RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R57      15k/0.05%/10ppm         RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R58      620/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          1
R62      ---                     RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R63      10k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R64      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R65      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R66      10k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R67      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R68      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R69      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R70      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R71      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R72      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R73      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R74      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R75      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R76      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R77      100k/THICK              RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R78      20k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R79      20k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R80      20k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R81      20k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R82      20k/THICK               RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R83      1k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
R84      2k/THICK                RSMD1.6X0.8MM           RM1608                  AEL_RLC          4
TP1      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP2      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP3      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP4      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP5      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
TP6      TP-LC3G                 TP-LC3G                 TP_TH_0R9MM             AEL_terminal     1
